06.05.2012 1:22:31     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:31     GET DATA    00 02 00 00 00 05 01 03 02 00 EA 
06.05.2012 1:22:31     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:31     GET DATA    00 01 00 00 00 07 01 03 04 00 9C 00 00 
06.05.2012 1:22:31     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:31     GET DATA    00 00 00 00 00 05 01 03 02 00 4E 
06.05.2012 1:22:31     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:31     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:31     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:31     GET DATA    00 04 00 00 00 05 01 03 02 D4 86 
06.05.2012 1:22:31     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:31     GET DATA    00 03 00 00 00 07 01 03 04 01 38 00 00 
06.05.2012 1:22:32     SEND READ    00 02 00 00 00 06 01 03 00 04 00 01 
06.05.2012 1:22:32     GET DATA    00 02 00 00 00 05 01 03 02 00 ED 
06.05.2012 1:22:32     SEND READ    00 01 00 00 00 06 01 03 00 02 00 02 
06.05.2012 1:22:32     GET DATA    00 01 00 00 00 07 01 03 04 00 9E 00 00 
06.05.2012 1:22:32     SEND READ    00 00 00 00 00 06 01 03 00 00 00 01 
06.05.2012 1:22:32     GET DATA    00 00 00 00 00 05 01 03 02 00 4F 
06.05.2012 1:22:32     SEND READ    00 05 00 00 00 06 01 03 00 09 00 01 
06.05.2012 1:22:32     GET DATA    00 05 00 00 00 03 01 83 02 
06.05.2012 1:22:32     SEND READ    00 04 00 00 00 06 01 03 00 08 00 01 
06.05.2012 1:22:32     GET DATA    00 04 00 00 00 05 01 03 02 DA 8B 
06.05.2012 1:22:32     SEND READ    00 03 00 00 00 06 01 03 00 06 00 02 
06.05.2012 1:22:32     GET DATA    00 03 00 00 00 07 01 03 04 01 3C 00 00 
